# Mamba-DEKF Training Log (cleaned — 75 epoch summaries)
# Source: /home/alvin/demo/Mamba-DEKF/checkpoints/trainlog_history/0530_train.log
# Cleaned: 2026-05-30 08:46:55
#
22:48:34 [INFO] Logging to checkpoints/mamba_dekf/train.log
22:48:34 [INFO] Device: cuda
22:48:47 [INFO] Train: 482130 samples, 3766 batches (K=4)
22:48:47 [INFO] Val:   91164 samples, 713 batches (K=4)
22:48:47 [INFO] TemporalMamba: 460,584 trainable parameters

03:46:39 [INFO] Epoch 38/100 (452.2s) | loss=-24.7226 (raw=-24.6945) pos=-0.3260 siz=-1.2472 ori=-1.4037 vel=-0.0814 nis=0.3597 ua=1.00 contrast=0.1319 | val=-23.8655 val_pos=-0.2930 | k_m=5.28 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
03:54:32 [INFO] Epoch 39/100 (446.8s) | loss=-24.6995 (raw=-24.6719) pos=-0.3251 siz=-1.2470 ori=-1.4038 vel=-0.0811 nis=0.3597 ua=1.00 contrast=0.1294 | val=-23.8358 val_pos=-0.2917 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:02:35 [INFO] Epoch 40/100 (456.0s) | loss=-24.7219 (raw=-24.6938) pos=-0.3259 siz=-1.2474 ori=-1.4039 vel=-0.0814 nis=0.3598 ua=1.00 contrast=0.1320 | val=-23.8641 val_pos=-0.2933 | k_m=5.28 k_s=0.41 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:10:36 [INFO] Epoch 41/100 (457.0s) | loss=-24.7572 (raw=-24.7323) pos=-0.3272 siz=-1.2479 ori=-1.4038 vel=-0.0817 nis=0.3596 ua=1.00 contrast=0.1177 | val=-23.8983 val_pos=-0.2944 | k_m=5.28 k_s=0.42 k_reg=0.0016 dp_reg=0.0000 | NaN=0
04:18:28 [INFO] Epoch 42/100 (447.4s) | loss=-24.7671 (raw=-24.7408) pos=-0.3276 siz=-1.2472 ori=-1.4042 vel=-0.0820 nis=0.3595 ua=1.00 contrast=0.1235 | val=-23.8245 val_pos=-0.2914 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:26:15 [INFO] Epoch 43/100 (442.8s) | loss=-24.7720 (raw=-24.7505) pos=-0.3277 siz=-1.2476 ori=-1.4042 vel=-0.0818 nis=0.3596 ua=1.00 contrast=0.1028 | val=-23.8297 val_pos=-0.2918 | k_m=5.28 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:34:28 [INFO] Epoch 44/100 (462.5s) | loss=-24.7836 (raw=-24.7605) pos=-0.3282 siz=-1.2478 ori=-1.4038 vel=-0.0812 nis=0.3596 ua=1.00 contrast=0.1095 | val=-23.8757 val_pos=-0.2934 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:42:43 [INFO] Epoch 45/100 (467.1s) | loss=-24.7943 (raw=-24.7684) pos=-0.3286 siz=-1.2475 ori=-1.4044 vel=-0.0811 nis=0.3593 ua=1.00 contrast=0.1219 | val=-23.8262 val_pos=-0.2915 | k_m=5.27 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:50:57 [INFO] Epoch 46/100 (466.4s) | loss=-24.8083 (raw=-24.7828) pos=-0.3293 siz=-1.2478 ori=-1.4038 vel=-0.0819 nis=0.3596 ua=1.00 contrast=0.1201 | val=-23.8874 val_pos=-0.2940 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
04:59:05 [INFO] Epoch 47/100 (462.3s) | loss=-24.7766 (raw=-24.7538) pos=-0.3279 siz=-1.2474 ori=-1.4041 vel=-0.0808 nis=0.3596 ua=1.00 contrast=0.1080 | val=-23.8927 val_pos=-0.2943 | k_m=5.26 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:07:11 [INFO] Epoch 48/100 (459.6s) | loss=-24.8097 (raw=-24.7845) pos=-0.3293 siz=-1.2477 ori=-1.4039 vel=-0.0816 nis=0.3595 ua=1.00 contrast=0.1186 | val=-23.8119 val_pos=-0.2912 | k_m=5.26 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:15:22 [INFO] Epoch 49/100 (463.7s) | loss=-24.8198 (raw=-24.7984) pos=-0.3298 siz=-1.2475 ori=-1.4037 vel=-0.0814 nis=0.3595 ua=1.00 contrast=0.1018 | val=-23.8334 val_pos=-0.2924 | k_m=5.27 k_s=0.41 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:23:35 [INFO] Epoch 50/100 (463.6s) | loss=-24.8422 (raw=-24.8178) pos=-0.3306 siz=-1.2477 ori=-1.4038 vel=-0.0822 nis=0.3595 ua=1.00 contrast=0.1152 | val=-23.8853 val_pos=-0.2933 | k_m=5.27 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
05:31:40 [INFO] Epoch 51/100 (457.8s) | loss=-24.8355 (raw=-24.8106) pos=-0.3305 siz=-1.2471 ori=-1.4036 vel=-0.0821 nis=0.3594 ua=1.00 contrast=0.1176 | val=-23.7981 val_pos=-0.2903 | k_m=5.27 k_s=0.40 k_reg=0.0015 dp_reg=0.0000 | NaN=0
