# Mamba-Decoupled-EKF Training Log (cleaned — epoch summaries only)
# Config: train_nuscenes.yaml  |  Samples: Train=679,050  Val=131,343  K=3
# Model: TemporalMamba  |  Params: 89,154  |  Device: cuda
#
12:34:10 [INFO] Train: 679050 samples, 5305 batches (K=3)
12:34:10 [INFO] Val:   131343 samples, 1027 batches (K=3)
12:34:10 [INFO] TemporalMamba: 89,154 trainable parameters
13:55:23 [INFO] Epoch 35/100 (122.1s) | train_loss=-68.3482 pos=1.5311 siz=-3.2114 ori=-0.0009 contrast=0.8567 | val_loss=-66.7456 val_pos=1.5344 | kappa_m=0.001 kappa_s=0.000 | NaN=0
13:57:42 [INFO] Epoch 36/100 (121.7s) | train_loss=-68.3723 pos=1.5315 siz=-3.2123 ori=-0.0009 contrast=0.8521 | val_loss=-66.6747 val_pos=1.5353 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:00:01 [INFO] Epoch 37/100 (122.0s) | train_loss=-68.3884 pos=1.5314 siz=-3.2128 ori=-0.0009 contrast=0.8773 | val_loss=-66.6736 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:02:23 [INFO] Epoch 38/100 (124.2s) | train_loss=-68.4721 pos=1.5311 siz=-3.2139 ori=-0.0009 contrast=0.8586 | val_loss=-66.8214 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:04:43 [INFO] Epoch 39/100 (122.8s) | train_loss=-68.3602 pos=1.5313 siz=-3.2122 ori=-0.0009 contrast=0.8882 | val_loss=-66.6577 val_pos=1.5346 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:07:06 [INFO] Epoch 40/100 (125.9s) | train_loss=-68.4755 pos=1.5311 siz=-3.2143 ori=-0.0009 contrast=0.8825 | val_loss=-66.8052 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:09:24 [INFO] Epoch 41/100 (121.1s) | train_loss=-68.4042 pos=1.5313 siz=-3.2131 ori=-0.0009 contrast=0.8944 | val_loss=-66.7877 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:11:43 [INFO] Epoch 42/100 (121.2s) | train_loss=-68.4277 pos=1.5313 siz=-3.2140 ori=-0.0009 contrast=0.9293 | val_loss=-66.8580 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:14:01 [INFO] Epoch 43/100 (120.7s) | train_loss=-68.4688 pos=1.5314 siz=-3.2146 ori=-0.0009 contrast=0.9002 | val_loss=-66.9457 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:16:20 [INFO] Epoch 44/100 (122.5s) | train_loss=-68.4453 pos=1.5311 siz=-3.2136 ori=-0.0009 contrast=0.8775 | val_loss=-66.8390 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:18:39 [INFO] Epoch 45/100 (121.3s) | train_loss=-68.3764 pos=1.5314 siz=-3.2125 ori=-0.0009 contrast=0.8739 | val_loss=-66.7456 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:20:58 [INFO] Epoch 46/100 (121.4s) | train_loss=-68.4346 pos=1.5313 siz=-3.2133 ori=-0.0009 contrast=0.8556 | val_loss=-66.7039 val_pos=1.5352 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:23:18 [INFO] Epoch 47/100 (122.9s) | train_loss=-68.3672 pos=1.5312 siz=-3.2121 ori=-0.0009 contrast=0.8764 | val_loss=-66.8477 val_pos=1.5346 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:25:39 [INFO] Epoch 48/100 (122.3s) | train_loss=-68.4488 pos=1.5314 siz=-3.2136 ori=-0.0009 contrast=0.8360 | val_loss=-66.8113 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:27:58 [INFO] Epoch 49/100 (121.9s) | train_loss=-68.4204 pos=1.5313 siz=-3.2136 ori=-0.0009 contrast=0.9079 | val_loss=-66.3680 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:30:18 [INFO] Epoch 50/100 (120.6s) | train_loss=-68.3922 pos=1.5314 siz=-3.2127 ori=-0.0009 contrast=0.8628 | val_loss=-66.7561 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:32:40 [INFO] Epoch 51/100 (123.7s) | train_loss=-68.4173 pos=1.5314 siz=-3.2136 ori=-0.0009 contrast=0.9013 | val_loss=-66.7850 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:34:59 [INFO] Epoch 52/100 (121.4s) | train_loss=-68.3764 pos=1.5313 siz=-3.2129 ori=-0.0009 contrast=0.9302 | val_loss=-66.6605 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:37:13 [INFO] Epoch 53/100 (115.3s) | train_loss=-68.4084 pos=1.5312 siz=-3.2132 ori=-0.0009 contrast=0.8992 | val_loss=-66.7620 val_pos=1.5354 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:39:32 [INFO] Epoch 54/100 (121.2s) | train_loss=-68.4823 pos=1.5312 siz=-3.2147 ori=-0.0009 contrast=0.9122 | val_loss=-66.5942 val_pos=1.5348 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:41:51 [INFO] Epoch 55/100 (120.5s) | train_loss=-68.3875 pos=1.5312 siz=-3.2127 ori=-0.0009 contrast=0.9010 | val_loss=-66.7751 val_pos=1.5352 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:44:08 [INFO] Epoch 56/100 (119.1s) | train_loss=-68.3498 pos=1.5314 siz=-3.2123 ori=-0.0009 contrast=0.9050 | val_loss=-66.7798 val_pos=1.5347 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:46:30 [INFO] Epoch 57/100 (124.1s) | train_loss=-68.3644 pos=1.5314 siz=-3.2125 ori=-0.0009 contrast=0.8968 | val_loss=-66.7074 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:48:49 [INFO] Epoch 58/100 (121.5s) | train_loss=-68.3564 pos=1.5312 siz=-3.2122 ori=-0.0009 contrast=0.9111 | val_loss=-66.8220 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:51:07 [INFO] Epoch 59/100 (120.2s) | train_loss=-68.3537 pos=1.5312 siz=-3.2118 ori=-0.0009 contrast=0.8707 | val_loss=-66.7442 val_pos=1.5353 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:53:25 [INFO] Epoch 60/100 (121.2s) | train_loss=-68.3755 pos=1.5314 siz=-3.2127 ori=-0.0009 contrast=0.8960 | val_loss=-66.8353 val_pos=1.5345 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:55:47 [INFO] Epoch 61/100 (124.4s) | train_loss=-68.3046 pos=1.5313 siz=-3.2107 ori=-0.0009 contrast=0.8487 | val_loss=-66.7600 val_pos=1.5350 | kappa_m=0.001 kappa_s=0.000 | NaN=0
14:58:06 [INFO] Epoch 62/100 (121.6s) | train_loss=-68.3075 pos=1.5313 siz=-3.2111 ori=-0.0009 contrast=0.8782 | val_loss=-66.8464 val_pos=1.5347 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:00:24 [INFO] Epoch 63/100 (121.0s) | train_loss=-68.3524 pos=1.5313 siz=-3.2122 ori=-0.0009 contrast=0.8992 | val_loss=-66.9547 val_pos=1.5346 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:02:41 [INFO] Epoch 64/100 (119.5s) | train_loss=-68.3171 pos=1.5311 siz=-3.2111 ori=-0.0009 contrast=0.8874 | val_loss=-66.6768 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:05:00 [INFO] Epoch 65/100 (122.3s) | train_loss=-68.3670 pos=1.5311 siz=-3.2123 ori=-0.0009 contrast=0.9014 | val_loss=-66.8158 val_pos=1.5351 | kappa_m=0.001 kappa_s=0.000 | NaN=0
15:07:18 [INFO] Epoch 66/100 (120.8s) | train_loss=-68.3709 pos=1.5313 siz=-3.2123 ori=-0.0009 contrast=0.8746 | val_loss=-66.8204 val_pos=1.5349 | kappa_m=0.001 kappa_s=0.000 | NaN=0
